packageName,subjectName,journalName
Health Sciences,Medicine,Pediatrics 
Health Sciences,Medicine,Hospital Reviews
Health Sciences,Medicine,Pediatrics in Reviews
Health Sciences,Medicine,NeoReviews
Health Sciences,Medicine,AAP grand rounds
Health Sciences,Medicine,AAP News
Health Sciences,Medicine,Psychiatry Online Premium
Health Sciences,Medicine,DSM-5 Library
Health Sciences,Medicine,Psychiatry Online Core
Health Sciences,Medicine,DSM Legacy Collection
Health Sciences,Medicine,Psychotherapy Library
Health Sciences,Medicine,The American Journal of Psychiatry
Health Sciences,Medicine,Psychiatric Services
Health Sciences,Medicine,Focus
Health Sciences,Medicine,The Journal of Neuropsychiatry and Clinical Neurosciences
Health Sciences,Medicine,The American Journal of Psychotherapy
Health Sciences,Medicine,Psychiatric News
Health Sciences,Medicine,Psychiatry Legacy Collection
General Science,Science,Science Online
General Science,Science,Science Classic
General Science,Science,Science Signaling
General Science,Science,Science Translational Medicine
Health Sciences,Medicine,Science Immunology
Engineering,Engineering,Science Robotics
General Science,Science,Science Advances
Engineering,Engineering,Philosophical Transactions of the Royal Society A
Engineering,Engineering,Proceedings of the Royal Society A
General Science,Science,Journal of the Royal Society Interface
General Science,Science,Interface Focus
General Science,Science,Philosophical Transactions of the Royal Society B
General Science,Science,Proceedings of the Royal Society B
General Science,Science,Biology Letters
General Science,Science,Journal of the Royal Society Interface
General Science,Science,Interface Focus